;1750;1875;2000;2125;2250;2375;2500;2625;2750;2875;3000;3125;3250;3375;3500;3625;3750;3875;4000;4125;4250;4375;4500;4625;4750;4875;5000;5125;5250;5375;5500;5625;5750;5875;6000;6125;6250;6375;6500;6625;6750;6875;7000;7125;7250;7375;7500;7625;7750;7875;8000
5250;135889;141042;146196;151712;157589;172779;178744;185887;192939;194024;210479;208761;217532;220785;229917;235704;239411;248542;251977;254961;262555;265903;272773;274491;284707;288322;291487;338593;327112;330276;335247;341938;344561;352516;352606;451336;460377;469781;473759;481083;489671;494373;501244;502962;503143;521044;525926;532978;536955;541657;547805
5375;142669;148095;153519;159124;159216;174767;180552;187695;195109;196193;213282;212107;220062;223137;232901;238417;242756;252701;254781;264003;267347;269427;282538;285793;286064;290131;294471;344470;348266;351250;354325;361375;365715;373762;379821;468605;472582;474843;483523;490757;494824;506850;506398;509110;521406;525926;534335;538313;542833;547083;553502
5500;146288;151441;156684;162289;168979;180281;188147;195381;202884;204602;217261;215452;227025;228199;236969;243660;250260;255866;262015;265540;269247;277203;283713;290766;288776;293207;297907;340943;344649;347725;350526;358211;362551;368519;377560;471498;477375;487501;489220;495639;502690;511912;518604;522129;527554;535600;536414;541025;551874;557028;561548
5625;151802;157225;162561;168257;174586;186429;193029;200806;208672;210841;225669;230550;235071;235614;247638;255324;259031;268523;271868;276117;283713;291940;295014;298901;306226;307762;311197;349714;352063;362010;370146;374396;378374;387687;395643;488225;492926;505402;508929;516705;533521;536143;536143;542020;547805;552146;562633;576376;581257;585868;603138
5750;155417;160390;165815;171150;176303;188147;195018;205959;212287;214366;227567;232629;237331;241039;249988;258126;264636;271145;274400;280549;286878;294834;298088;301976;308214;310926;315266;353782;363727;367252;377289;385968;389947;401157;403145;498442;502148;510104;521857;526559;542833;545817;543557;549885;553953;557299;578186;595635;598979;604403;609557
5875;158401;163554;168979;174586;181637;192125;196736;209937;217169;217441;234076;235071;242033;243480;254059;260658;269788;273767;277384;286064;294200;297907;301342;306226;309752;314000;322138;357127;366891;378826;383166;393201;399530;404593;406673;502871;509291;522490;534426;541296;548620;553411;555673;552326;559198;562362;596989;601149;605760;608292;615885
6000;161114;166449;171873;177480;184260;195109;199720;212378;220244;221600;237331;238327;245469;248090;257402;264365;273496;277384;280910;289771;298088;301976;305141;310293;311921;317979;326658;361375;371140;383075;387323;397722;404050;406945;409022;503594;510104;523666;535419;539488;549434;554316;559018;559198;567155;600245;603860;608292;611998;615797;623029
6125;170154;179649;182994;186792;198183;207677;209212;213733;228742;229647;238596;241670;245648;256498;265903;274672;284436;287330;291218;299896;307672;312644;317436;321323;326206;334254;340131;377922;392749;400345;403237;412639;417976;433797;439131;500792;503143;512727;515077;523394;530718;539127;550969;563627;582976;604131;609195;613716;615434;622758;626193
6250;175851;183988;187695;199539;203156;211564;215723;229375;244473;239592;249265;248452;252069;263641;267168;276932;287149;291218;296642;302156;308305;313821;319877;323133;329823;339317;343295;404865;406492;412639;412550;413726;419692;440578;444826;507843;512365;517337;521857;528098;533431;562362;568419;611998;615885;623842;625469;630623;636861;642286;649790
6375;178111;185887;189504;201528;204873;215361;227477;231275;245560;241670;251525;250532;254329;263732;269881;278560;288594;293659;298631;307672;309208;314181;322499;326206;331721;342028;344470;408209;412639;416347;416166;418699;423308;444466;448624;512365;516705;521857;526469;543737;562633;567155;573032;615885;621129;627820;633155;635686;641925;647802;654402
6500;179921;187514;194294;202884;206952;216897;229375;233263;248452;244925;253696;252973;256498;268252;272322;280187;291218;296460;301163;308305;309390;315629;325212;336964;341757;345374;347454;411916;416528;419330;419511;422315;426384;448262;452511;516705;521406;526469;531262;550969;567334;572760;577551;621129;626193;633155;638580;643371;647802;653136;660008
6625;181366;189322;201528;205054;208400;219429;231546;236518;249988;247185;256047;255413;258939;270784;274672;283713;295194;298992;303875;312192;318701;322771;328105;340131;344470;346549;351702;415986;416708;423128;424122;425930;428643;452240;456671;520772;525564;531262;535963;568419;573032;577189;582976;627187;631528;638580;643099;648796;654131;658831;666697
6750;182994;191041;203156;206952;210569;229647;233896;237693;253334;249627;258579;257402;261201;274672;277203;285973;297274;301434;306678;324127;327291;333440;338864;348177;347182;349894;354505;418969;420415;426564;435696;433797;440306;456127;459925;525113;529814;534968;541025;572578;576648;581893;587769;632251;637223;641382;647349;654131;658831;663624;671399
6875;191041;200171;207857;211925;224221;234710;239049;243389;259031;255142;264816;263912;275303;279644;289589;293024;304778;308756;314453;325575;337598;349081;353419;356856;355047;359659;375753;430180;432983;439583;441482;440578;464537;468877;472131;540663;545092;577189;581529;588581;593194;597803;636320;649790;655216;663352;667874;673388;679265;685142;693007
7000;192939;203246;209755;213372;226121;237060;240947;245288;261290;257674;267258;266715;276932;281905;291850;296099;306949;311650;317889;337327;348538;352063;356495;360834;358392;369061;378466;433797;436328;445098;442927;445912;467791;471590;476380;544732;549885;581529;585868;593374;597803;602777;643371;654944;660280;668776;673388;678993;684600;691560;694816
